received_time, packet_text, rssi
1689841142553368161, 3, -96
1689841142941956598, 5, -96
1689841143006575296, 2, -99
1689841143115162744, 3, -97
1689841143181251077, t, -84
1689841143205688004, 3, -96
1689841143401535609, 3, -95
1689841143438066077, 2, -99
1689841143521822275, 5, -95
1689841143640054931, 5, -96
1689841143725504202, 2, -99
1689841143927011494, 4, -83
1689841144195848525, 3, -95
1689841144227251181, 5, -95
1689841144403254879, 3, -96
1689841144489659879, ], -83
1689841144640993785, 2, -100
1689841144926502275, 5, -95
1689841145066835347, 5, -96
1689841145103364775, 4, -84
1689841145191400191, 2, -100
1689841145377656858, 2, -100
1689841145556420764, 4, -84
1689841145833653003, 4, -84
1689841145883587795, 3, -97
1689841145927392170, 5, -95
1689841145969163524, 5, -95
1689841146203219566, 5, -94
1689841146334709982, 2, -100
1689841146372944514, 4, -84
1689841146512025399, 2, -99
1689841146554127326, 5, -96
1689841146672264514, 3, -96
1689841146694733836, 5, -96
1689841146859695191, 4, -84
1689841146975148576, 4, -83
1689841147396933211, 5, -87
1689841147537105034, 4, -84
1689841147695638419, 2, -100
1689841147723503836, 3, -97
1689841147821081857, 5, -95
1689841147890315086, 4, -83
1689841148040407378, 2, -100
1689841148075348575, 7, -90
1689841148173955190, 2, -101
1689841148370703627, 4, -84
1689841148481815919, 5, -95
1689841148514574982, 2, -100
1689841148636192794, 2, -101
1689841149054262742, , -81
1689841149251568106, 4, -84
1689841149306134460, 4, -84
1689841149331560971, 4, -83
1689841149457398679, 5, -96
1689841149749581752, 3, -95
1689841149902048262, 3, -95
1689841149972504721, 2, -100
1689841150102669356, 3, -96
1689841150202878991, 5, -88
1689841150300897689, 5, -96
1689841150444672325, 5, -95
1689841150762617064, 2, -101
1689841150855311595, 5, -96
1689841151058249095, 3, -96
1689841151093459824, 4, -84
1689841151217135241, 2, -101
1689841151291558001, , -83
1689841151333550137, 3, -96
1689841151732222689, 4, -84
1689841151942154928, 2, -101
1689841152078119511, 5, -95
1689841152350949355, 3, -92
1689841152557883626, 3, -96
1689841152765136907, 2, -95
1689841152793224199, 5, -96
1689841153182423678, 4, -84
1689841153504864511, 3, -92
1689841153876717323, 4, -77
1689841153905820917, 4, -82
1689841153941249875, 4, -83
1689841154035106229, 4, -84
1689841154062433782, 5, -96
1689841154112619511, 4, -83
1689841154209726854, 5, -96
1689841154382021229, 3, -97
1689841154671236125, 5, -96
1689841154769395708, 2, -101
1689841154800976021, 4, -84
1689841155060854146, 3, -96
1689841155209912896, 5, -95
1689841155433564458, 3, -96
1689841155532573781, 4, -83
1689841155579768625, 2, -100
1689841155795593781, 5, -91
1689841155894928729, 5, -95
1689841155940951854, 5, -95
1689841156043560187, 3, -97
1689841156101463052, 4, -84
1689841156246469249, 2, -100
1689841156332299770, t, -83
1689841156746513260, 4, -84
1689841156859149926, 5, -95
1689841156932813051, 3, -96
1689841156963393312, 5, -96
1689841157214440291, 2, -101
1689841157270753572, 2, -100
1689841157393863259, 4, -84
1689841157438042895, 3, -96
1689841157582107009, 2, -100
1689841162323290237, 4, -84
1689841162683009872, 4, -84
1689841162756924039, 2, -100
1689841162907743726, 5, -95
1689841163019252164, 3, -96
1689841163299047372, 3, -96
1689841163371039455, 2, -99
1689841163558962892, 4, -85
1689841163589150028, 3, -97
1689841163649662267, , -92
1689841163988068830, 2, -100
1689841164242098465, 5, -96
1689841164337253517, 3, -96
1689841164461298100, 2, -100
1689841164526097996, 3, -96
1689841165006988986, 4, -84
1689841165105458777, 5, -95
1689841165311006069, 3, -97
1689841165399507527, 2, -100
1689841165507642423, 5, -97
1689841165872590079, 3, -97
1689841165928925444, 4, -84
1689841166232873204, 5, -93
1689841166368784089, 2, -99
1689841166602867006, 4, -84
1689841166869602943, 3, -96
1689841167195935079, 5, -95
1689841167220806849, 2, -100
1689841167442858308, 5, -95
1689841167532289349, 4, -83
1689841167696715912, 5, -95
1689841167759525755, 3, -95
1689841168081295391, 2, -100
1689841168131695182, 5, -95
1689841168502581589, 4, -84
1689841168563698047, 2, -100
1689841168702640234, 5, -96
1689841168727888516, 3, -97
1689841168768634713, 5, -95
1689841169208872578, 4, -84
1689841169319927630, 3, -96
1689841169451065338, 5, -95
1689841169533852057, 3, -92
1689841169682802942, 2, -100
1689841169829320078, 5, -94
1689841169906250494, 3, -98
1689841170044864713, 4, -81
1689841170228762942, 3, -97
1689841170306403879, 5, -96
1689841170523223046, 4, -80
1689841170701981015, 2, -102
1689841170776317681, 2, -102
1689841170844362004, 5, -98
1689841171221785962, 3, -106
1689841171357444973, 3, -106
1689841171518765077, 4, -80
1689841171541624348, 5, -100
1689841171584120494, 3, -102
1689841171824519035, 4, -86
1689841171895553671, 2, -110
1689841172040165129, 5, -100
1689841172275823045, 2, -107
1689841172397593827, 3, -104
1689841172619451587, 4, -84
1689841172832182524, 5, -99
1689841172904233097, 2, -105
1689841173115613566, 3, -104
1689841173265445910, 4, -87
1689841173333758618, 5, -98
1689841173585819764, 2, -106
1689841173752516430, 5, -96
1689841173861493357, 3, -103
1689841174073611390, 4, -82
1689841174234443027, 3, -98
1689841174376282756, 2, -103
1689841174591096915, 2, -100
1689841174618654323, 4, -84
1689841174672828939, 3, -98
1689841174691980734, 4, -83
1689841174731407289, d, -93
1689841174758574150, 3, -97
1689841174782296811, 3, -96
1689841175194281467, 4, -84
1689841175264970629, 4, -85
1689841175309143376, 5, -96
1689841175432489376, 3, -92
1689841175611383945, 2, -99
1689841175761209205, 5, -96
1689841176072702884, 4, -84
1689841176144292851, 4, -84
1689841176194436673, 2, -100
1689841176289780043, 3, -96
1689841176335711801, 5, -97
1689841176418645298, 3, -96
1689841176574028591, 4, -84
1689841176827769760, 5, -97
1689841176993500589, 2, -98
1689841177128243742, 3, -96
1689841177596336734, 4, -84
1689841177768810960, 2, -101
1689841177821004507, 5, -97
1689841177964019282, 3, -97
1689841178086086397, 4, -85
1689841178222984862, 5, -97
1689841178310926899, 2, -102
1689841178648442875, 2, -101
1689841178760400881, 3, -97
1689841178849089306, 2, -101
1689841178904510290, 4, -84
1689841178932402272, 3, -97
1689841179213081305, 5, -97
1689841179625485817, 2, -101
1689841179771387043, 4, -84
1689841179849132784, 3, -97
1689841180002247455, 4, -83
1689841180025442692, 3, -96
1689841180058996509, , -95
1689841180330343184, 5, -97
1689841180393241605, 4, -85
1689841180543951767, 2, -101
1689841180777622737, 5, -97
1689841180827510132, 3, -96
1689841180919289947, 2, -102
1689841181065907665, 5, -97
1689841181216324194, 4, -84
1689841181460723316, 5, -98
1689841181511674952, 2, -102
1689841181555433008, 5, -97
1689841181680749175, 3, -96
1689841181810244750, 4, -84
1689841182009979195, 5, -98
1689841182083717718, 2, -100
1689841182214485035, 2, -101
1689841182255584482, 3, -97
1689841182462658897, 4, -83
1689841182512210171, 5, -98
1689841182650636427, 4, -84
1689841183003933481, 3, -96
1689841183272569092, 5, -98
1689841183322066323, 4, -84
1689841183353539538, 2, -102
1689841183448990729, 4, -84
1689841183487454414, 3, -96
1689841183752175884, 3, -96
1689841183819028782, 5, -97
1689841183892977914, 4, -82
1689841183939983476, 5, -93
1689841183993913601, 3, -93
1689841184042960815, 2, -102
1689841184221564857, 3, -96
1689841184353019745, 5, -97
1689841184427207820, 3, -96
1689841184645103126, 4, -84
1689841184751893539, 3, -96
1689841184814767273, 4, -84
1689841184943226584, 2, -101
1689841185004397231, 5, -97
1689841185087723421, 2, -101
1689841185179023209, 2, -101
1689841185292640515, 2, -102
1689841185324478653, 4, -84
1689841185486834237, 3, -91
1689841185675010092, 2, -101
1689841185752517374, 3, -96
1689841185850591347, 4, -85
1689841185991384322, 3, -96
1689841186034346391, 4, -84
1689841186265569221, 2, -99
1689841186302515320, 5, -93
1689841186682431393, 4, -83
1689841186941194544, 5, -92
1689841186986058770, 3, -97
1689841187487683739, 3, -91
1689841187559765130, 4, -85
1689841187753238452, 2, -101
1689841187909722760, 5, -95
1689841188013938214, 3, -96
1689841188057683895, 4, -84
1689841188131479587, 2, -102
1689841188197427122, 5, -94
1689841188290225921, 2, -101
1689841188516217762, 3, -97
1689841188776337166, 2, -100
1689841188985700695, 4, -84
1689841189017387419, 5, -96
1689841189168223655, 3, -97
1689841189213663226, 2, -100
1689841189462877342, 3, -96
1689841189600504996, 3, -97
1689841189624442637, 4, -84
1689841189790184664, 5, -97
1689841189864423972, 4, -84
1689841190039789410, 2, -100
1689841190249434392, 5, -96
1689841190558169131, 3, -97
1689841190632687129, 2, -100
1689841190669683103, 4, -85
1689841190940833669, 2, -100
1689841191008443526, 2, -100
1689841191199827054, 3, -94
1689841191651883922, 4, -85
1689841191768867292, 4, -84
1689841191905902126, 2, -100
1689841192077918568, 3, -98
