received_time, altitude, lat, lon, alt
1689841655816728392, -0.03840300440788269, , , 
1689841656102354088, , 460684164, 112274106, 476068
1689841657404060574, -0.03943027928471565, , , 
1689841657677379292, , 460684174, 112274128, 475887
1689841658991947413, -0.041229814291000366, , , 
1689841659267615047, , 460684182, 112274145, 475785
1689841660580104176, -0.04360126703977585, , , 
1689841660853311123, , 460684184, 112274162, 475706
1689841662173541890, -0.04414650425314903, , , 
1689841662449781467, , 460684191, 112274161, 475682
1689841663755947684, -0.05287445709109306, , , 
1689841664029733966, , 460684199, 112274166, 475633
1689841665347455282, -0.06050980091094971, , , 
1689841665622924794, , 460684207, 112274174, 475578
1689841666927424491, -0.06795161962509155, , , 
1689841667202010923, , 460684212, 112274182, 475513
1689841668517514658, -0.06862290948629379, , , 
1689841668793226637, , 460684229, 112274203, 475356
1689841670117499560, -0.06919427216053009, , , 
1689841670382129583, , 460684244, 112274220, 475154
1689841671681974814, -0.07902315258979797, , , 
1689841671959903362, , 460684255, 112274229, 475006
1689841673280003973, -0.11731457710266113, , , 
1689841673555043808, , 460684262, 112274234, 474944
1689841674867992754, -0.15619991719722748, , , 
1689841675153743566, , 460684265, 112274238, 474965
1689841676457247204, -0.19148163497447968, , , 
1689841676722129142, , 460684266, 112274239, 474954
1689841678043997564, -0.19006715714931488, , , 
1689841678313707840, , 460684275, 112274244, 474895
1689841679621704724, -0.18717755377292633, , , 
1689841679911742855, , 460684276, 112274247, 474862
1689841686123586875, -0.18749211728572845, , , 
1689841686346206263, , 460684281, 112274248, 474846
1689841686826400128, -0.17209427058696747, , , 
1689841686963828810, , 460684292, 112274245, 474867
1689841687445805606, -0.18401595950126648, , , 
1689841687605612830, , 460684301, 112274239, 474842
1689841688081285104, 0.8433123230934143, , , 
1689841688195953152, , 460684349, 112274108, 476211
1689841688679606171, 1.2900460958480835, , , 
1689841688851828265, , 460684436, 112273804, 476860
1689841689314923643, 1.6873260736465454, , , 
1689841689441982614, , 460684542, 112273471, 477357
1689841690739748889, 1.5910282135009766, , , 
1689841691016713065, , 460684659, 112273096, 477214
1689841692336450030, 1.017084002494812, , , 
1689841692600536915, , 460684777, 112272803, 476177
1689841693914471908, 0.1993727833032608, , , 
1689841694191888806, , 460684793, 112272755, 475490
1689841695508160516, 0.011072461493313313, , , 
1689841695773894375, , 460684791, 112272738, 475566
1689841697097617528, -0.034199658781290054, , , 
1689841697385293643, , 460684790, 112272718, 475627
1689841698671321026, -0.08823521435260773, , , 
1689841698961432947, , 460684793, 112272704, 475687
1689841700271717809, -0.1152595654129982, , , 
1689841700559641945, , 460684799, 112272690, 475767
1689841701860206013, -0.15922419726848602, , , 
1689841702135017906, , 460684804, 112272677, 475826
1689841703442917749, -0.11825886368751526, , , 
1689841703755439800, , 460684808, 112272654, 475973
1689841705032880560, -0.06842654198408127, , , 
1689841705318789621, , 460684819, 112272632, 476017
1689841706618603302, -0.018847981467843056, , , 
1689841706897959303, , 460684829, 112272622, 475842
1689841708209396305, -0.024060796946287155, , , 
1689841708484247533, , 460684838, 112272609, 475721
1689841709794624185, 0.020727910101413727, , , 
1689841710071546688, , 460684848, 112272595, 475583
1689841711383462925, 0.03282993286848068, , , 
1689841712219556475, , 460684858, 112272577, 475462
1689841712969743654, 0.07272399961948395, , , 
1689841713245920231, , 460684870, 112272555, 475321
1689841714559562721, 0.09858494997024536, , , 
1689841714833946131, , 460684880, 112272543, 475268
1689841716153210529, 0.12386193126440048, , , 
1689841716430858450, , 460684887, 112272535, 475151
1689841717739840859, 0.10200361907482147, , , 
1689841718003689323, , 460684895, 112272524, 475152
1689841719319518490, 0.07092013210058212, , , 
1689841719595751740, , 460684903, 112272516, 475124
1689841720904613719, 0.04875359684228897, , , 
1689841721201623603, , 460684910, 112272517, 475049
1689841722490156135, 0.062419697642326355, , , 
1689841722778122640, , 460684919, 112272519, 475020
1689841724092777317, 0.06290575861930847, , , 
1689841724354960219, , 460684916, 112272524, 474984
1689841725673973269, 0.04281965270638466, , , 
1689841725952117735, , 460684913, 112272524, 475005
1689841727260535880, 0.044348858296871185, , , 
1689841727527447593, , 460684911, 112272525, 475007
1689841728846037804, 0.024539632722735405, , , 
1689841729127803435, , 460684904, 112272536, 474832
1689841730437071988, 0.016140194609761238, , , 
1689841730734606176, , 460684901, 112272548, 474652
1689841732023551745, 0.010007417760789394, , , 
1689841732311507694, , 460684896, 112272560, 474520
1689841733619079464, 0.0021918651182204485, , , 
1689841733887489611, , 460684889, 112272570, 474343
1689841735195233570, -0.028553234413266182, , , 
1689841735482487481, , 460684883, 112272585, 474092
1689841736790725960, -0.0469193309545517, , , 
1689841737066364373, , 460684871, 112272593, 473861
1689841738367261438, -0.07111115008592606, , , 
1689841738655433457, , 460684865, 112272598, 473693
1689841739967452672, -0.07387839257717133, , , 
1689841740243140028, , 460684853, 112272604, 473458
1689841741541942814, -0.09891901165246964, , , 
1689841741831134393, , 460684843, 112272612, 473362
1689841743137663019, -0.13458840548992157, , , 
1689841743412294934, , 460684834, 112272620, 473364
1689841744723295178, -0.16108158230781555, , , 
1689841745011167667, , 460684831, 112272627, 473388
1689841746307741461, -0.17559607326984406, , , 
1689841746580885897, , 460684823, 112272634, 473449
1689841747904109360, -0.1886533796787262, , , 
1689841748181337815, , 460684811, 112272637, 473470
1689841749490837838, -0.22222881019115448, , , 
1689841749755993386, , 460684799, 112272640, 473464
1689841751077578547, -0.2443939745426178, , , 
1689841751354386133, , 460684791, 112272645, 473465
1689841752662051124, -0.2711068093776703, , , 
1689841752948032463, , 460684785, 112272648, 473484
1689841754248525925, -0.2748474180698395, , , 
1689841754524403576, , 460684782, 112272653, 473507
1689841755843159041, -0.29671767354011536, , , 
1689841756118887582, , 460684778, 112272657, 473616
1689841757430952554, -0.3302845060825348, , , 
1689841757696273134, , 460684779, 112272665, 473714
1689841759013085418, -0.3531346619129181, , , 
1689841759299637874, , 460684774, 112272666, 473790
1689841760597719402, -0.3835727572441101, , , 
1689841760876726186, , 460684769, 112272666, 473923
1689841762185642210, -0.39245370030403137, , , 
1689841762460558269, , 460684765, 112272670, 474003
1689841763772649674, -0.39668941497802734, , , 
1689841764052736568, , 460684759, 112272676, 474051
1689841765369738614, -0.4030030071735382, , , 
1689841765644655981, , 460684758, 112272681, 474205
1689841766955496946, -0.3884766101837158, , , 
1689841767231683015, , 460684757, 112272687, 474325
1689841768541415087, -0.3960787355899811, , , 
1689841768906783389, , 460684755, 112272703, 474506
1689841770216422608, -0.3965829014778137, , , 
1689841770577374925, , 460684753, 112272718, 474542
1689841771890766654, -0.41072985529899597, , , 
1689841772241647672, , 460684755, 112272728, 474663
1689841774725636321, -0.38053736090660095, , , 
1689841775074146406, , 460684750, 112272749, 475160
1689841777543135654, -0.32057949900627136, , , 
1689841777902475324, , 460684742, 112272754, 475731
1689841780387836884, 1.9967036247253418, , , 
1689841780738599735, , 460684758, 112272705, 478336
1689841783218101052, 5.590585231781006, , , 
1689841783576494582, , 460684752, 112272713, 481994
1689841786047422112, 9.518655776977539, , , 
1689841786407482624, , 460684765, 112272691, 485864
1689841788881073760, 13.425251007080078, , , 
1689841789241894324, , 460684772, 112272705, 489292
1689841791711714429, 13.939247131347656, , , 
1689841792082192443, , 460684896, 112272579, 489273
1689841794553605004, 13.983449935913086, , , 
1689841794912847654, , 460685156, 112272468, 489155
1689841797383535639, 14.173736572265625, , , 
1689841797744115374, , 460685355, 112272300, 488940
1689841800216048938, 14.254530906677246, , , 
1689841800578964142, , 460685583, 112272117, 488808
1689841803049664012, 14.333784103393555, , , 
1689841803409439478, , 460685799, 112271960, 488737
1689841805884092477, 14.394549369812012, , , 
1689841806244201225, , 460686025, 112271788, 488617
1689841808723404123, 14.481608390808105, , , 
1689841809086316673, , 460686250, 112271632, 488358
1689841811550156554, 14.594943046569824, , , 
1689841811912365198, , 460686431, 112271539, 488145
1689841815045333672, 14.557676315307617, , , 
1689841815201386275, , 460686168, 112271686, 487723
1689841817218303558, 14.28343391418457, , , 
1689841817577308609, , 460685978, 112271690, 487511
1689841820049286360, 14.479376792907715, , , 
1689841820419569380, , 460685775, 112271883, 487533
1689841822883804216, 14.548701286315918, , , 
1689841823253148017, , 460685528, 112272015, 487619
1689841825716476916, 14.6367826461792, , , 
1689841826087666186, , 460685308, 112272160, 487182
1689841828547875764, 14.580453872680664, , , 
1689841828919550607, , 460685076, 112272285, 486701
1689841831381710081, 14.617203712463379, , , 
1689841831753532008, , 460684838, 112272418, 486278
1689841834220184660, 14.393025398254395, , , 
1689841834589450493, , 460684599, 112272553, 485805
1689841837055104604, 14.389856338500977, , , 
1689841837413966947, , 460684360, 112272673, 486514
1689841839889681319, 14.69536018371582, , , 
1689841840249980120, , 460684133, 112272793, 486860
1689841842727079961, 14.617851257324219, , , 
1689841843078590742, , 460683888, 112272917, 486964
1689841845558626885, 14.872509956359863, , , 
1689841845920518291, , 460683672, 112273033, 487001
1689841848397356049, 14.515047073364258, , , 
1689841848742837820, , 460683451, 112273189, 486868
1689841851218305266, 14.445670127868652, , , 
1689841851590330891, , 460683627, 112273215, 486866
1689841854062132034, 14.60315990447998, , , 
1689841854413886618, , 460683856, 112273094, 487046
1689841856884351303, 14.747454643249512, , , 
1689841857256105678, , 460684087, 112272976, 487084
1689841859721741354, 14.78696060180664, , , 
1689841860083513541, , 460684311, 112272863, 486943
1689841862553181977, 14.670206069946289, , , 
1689841862913817081, , 460684557, 112272739, 486658
1689841865384844007, 14.665861129760742, , , 
1689841865758310361, , 460684798, 112272613, 486453
1689841868227987755, 14.64550495147705, , , 
1689841868576931245, , 460685035, 112272488, 486249
1689841871060155879, 14.66819953918457, , , 
1689841871424905879, , 460685281, 112272360, 486420
1689841873883599679, 14.693658828735352, , , 
1689841874254086658, , 460685513, 112272218, 486950
1689841876725259991, 14.664417266845703, , , 
1689841877085013324, , 460685765, 112272094, 486826
1689841879556767958, 14.594843864440918, , , 
1689841879915678791, , 460685984, 112271985, 486403
1689841882396497332, 14.56850528717041, , , 
1689841882751989467, , 460686227, 112271851, 486215
1689841885225923685, 14.645204544067383, , , 
1689841885584665455, , 460686443, 112271738, 485985
1689841888052274204, 14.649645805358887, , , 
1689841888420408319, , 460686480, 112271966, 485621
1689841890902370557, 14.564924240112305, , , 
1689841891251022224, , 460686237, 112272102, 484475
1689841893732182692, 14.343626976013184, , , 
1689841894085698577, , 460686048, 112272252, 482783
1689841896554153315, 14.031259536743164, , , 
1689841896923226388, , 460685776, 112272360, 481666
1689841899390085241, 14.288177490234375, , , 
1689841899749787793, , 460685571, 112272520, 482317
1689841902227776022, 14.711627960205078, , , 
1689841902584992011, , 460685330, 112272640, 482513
1689841905062125760, 14.630291938781738, , , 
1689841905419764145, , 460685069, 112272778, 482020
1689841907886475238, 14.648771286010742, , , 
1689841908254664717, , 460684856, 112272896, 482188
1689841910723671227, 14.6857271194458, , , 
1689841911082926747, , 460684627, 112273031, 482142
1689841913563208934, 14.746191024780273, , , 
1689841913923935340, , 460684392, 112273152, 482071
1689841916391486953, 14.633565902709961, , , 
1689841916761621068, , 460684157, 112273265, 482288
1689841919229462682, 14.602058410644531, , , 
1689841919592087733, , 460683925, 112273463, 481919
1689841922061690128, 14.561931610107422, , , 
1689841922419762889, , 460683679, 112273576, 482435
1689841924907588461, 14.609671592712402, , , 
1689841925258600700, , 460683593, 112273796, 483061
1689841927725981012, 14.64999008178711, , , 
1689841928087781793, , 460683834, 112273662, 483505
1689841930570698250, 14.870692253112793, , , 
1689841930923320854, , 460684068, 112273540, 483877
1689841933392243197, 14.836753845214844, , , 
1689841933764440020, , 460684297, 112273402, 483806
1689841936237058560, 14.791000366210938, , , 
1689841936585780019, , 460684542, 112273308, 484130
1689841939066846164, 14.676369667053223, , , 
1689841939430447882, , 460684805, 112273186, 483910
1689841941887965590, 14.653556823730469, , , 
1689841942255870641, , 460685034, 112273062, 483717
1689841944728275901, 14.54837703704834, , , 
1689841945097518349, , 460685256, 112272931, 483259
1689841947560002462, 14.590543746948242, , , 
1689841947929247827, , 460685493, 112272810, 483564
1689841950397324857, 14.606328964233398, , , 
1689841950758558919, , 460685725, 112272659, 483995
1689841953231244127, 14.568370819091797, , , 
1689841953588427616, , 460685976, 112272545, 484123
1689841956058907720, 14.515957832336426, , , 
1689841956429345584, , 460686211, 112272427, 483917
1689841958906149646, 14.596573829650879, , , 
1689841959254301364, , 460686432, 112272320, 484019
1689841961732856884, 14.631964683532715, , , 
1689841962083630738, , 460686664, 112272284, 484364
1689841964562041779, 14.677472114562988, , , 
1689841964931488549, , 460686535, 112272517, 484611
1689841967405918913, 14.442214012145996, , , 
1689841967754901413, , 460686302, 112272634, 483970
1689841970233782037, 14.428545951843262, , , 
1689841970591771568, , 460686038, 112272796, 483573
1689841973070871671, 14.339638710021973, , , 
1689841973429351411, , 460685785, 112272934, 483293
1689841975900013337, 14.491669654846191, , , 
1689841976259209691, , 460685577, 112273072, 483498
1689841978735864534, 14.680401802062988, , , 
1689841979087948492, , 460685350, 112273178, 483321
1689841981565750783, 14.509688377380371, , , 
1689841981925356616, , 460685113, 112273298, 483366
1689841984405393959, 14.639082908630371, , , 
1689841984755011979, , 460684881, 112273464, 484163
1689841987229460051, 14.61430549621582, , , 
1689841987598073645, , 460684634, 112273592, 485273
1689841990069522342, 14.717634201049805, , , 
1689841990417344165, , 460684417, 112273720, 485855
1689841992896755049, 14.624653816223145, , , 
1689841993265125570, , 460684162, 112273863, 485873
1689841995733448590, 14.522795677185059, , , 
1689841996092467444, , 460683939, 112273997, 485755
1689841998567602912, 14.500164031982422, , , 
1689841998929825672, , 460683697, 112274107, 486247
1689842001396980879, 20.30742073059082, , , 
1689842001756674004, , 460683699, 112274097, 493295
1689842004238475253, 27.523263931274414, , , 
1689842004596304524, , 460683722, 112274107, 501019
1689842007071361867, 29.01468276977539, , , 
1689842007432825408, , 460683795, 112274022, 502455
1689842009905564261, 28.940824508666992, , , 
1689842010265477803, , 460683978, 112273738, 503283
1689842012740581604, 29.122047424316406, , , 
1689842013102939312, , 460684150, 112273498, 504042
1689842015566040561, 29.281240463256836, , , 
1689842015928516134, , 460684343, 112273245, 504664
1689842018400055248, 29.441272735595703, , , 
1689842018762189050, , 460684547, 112272991, 505222
1689842021243868632, 28.81571388244629, , , 
1689842021594287226, , 460684715, 112272763, 503876
1689842024075442277, 25.784093856811523, , , 
1689842024434699985, , 460684748, 112272752, 500241
1689842026905596755, 22.98550033569336, , , 
1689842027266329619, , 460684756, 112272728, 497029
1689842029732279462, 20.198665618896484, , , 
1689842030103843993, , 460684749, 112272728, 493830
1689842032585320138, 17.415302276611328, , , 
1689842032939644826, , 460684761, 112272725, 490761
1689842035403264460, 14.623830795288086, , , 
1689842035766049772, , 460684753, 112272739, 487441
1689842038236261126, 11.720603942871094, , , 
1689842038597663469, , 460684772, 112272735, 484203
1689842041066073937, 9.072768211364746, , , 
1689842041437341697, , 460684754, 112272729, 481109
1689842043905812165, 6.560656547546387, , , 
1689842044264713675, , 460684766, 112272743, 478402
1689842046743938154, 4.322024822235107, , , 
1689842047092488414, , 460684761, 112272732, 475883
1689842049570425965, 2.4347944259643555, , , 
1689842049930473361, , 460684743, 112272738, 473642
1689842052403952162, 0.794746994972229, , , 
1689842052763837578, , 460684754, 112272711, 472005
1689842055237298046, -1.1782078742980957, , , 
1689842055595632057, , 460684745, 112272725, 470204
1689842058076167108, -3.057396650314331, , , 
1689842058435192524, , 460684748, 112272727, 468471
1689842060906829346, -5.0166707038879395, , , 
1689842061267100961, , 460684728, 112272734, 466826
1689842063735055856, -5.944525241851807, , , 
1689842064097034241, , 460684730, 112272714, 466632
1689842066575866948, -6.335773468017578, , , 
1689842066935511531, , 460684755, 112272706, 466561
1689842069411587260, -6.414602279663086, , , 
1689842069770568666, , 460684755, 112272712, 466705
1689842072249041998, -6.307721138000488, , , 
1689842072598159967, , 460684742, 112272726, 466819
1689842075077180487, -6.242153167724609, , , 
1689842075438205695, , 460684713, 112272740, 466849
1689842077917554236, -6.205508708953857, , , 
1689842078277656058, , 460684693, 112272715, 467068
1689842080742740224, -6.168692588806152, , , 
1689842081104137880, , 460684689, 112272695, 467403
1689842083578178660, -6.149920463562012, , , 
1689842083931632202, , 460684698, 112272679, 467490
1689842086406540378, -6.182974338531494, , , 
1689842086778456420, , 460684704, 112272655, 467535
1689842089240149283, -6.220257759094238, , , 
1689842089607479752, , 460684714, 112272635, 467730
1689842092079202407, -6.274952411651611, , , 
1689842092439268345, , 460684724, 112272611, 467657
1689842094917150323, -6.3142313957214355, , , 
1689842095274544281, , 460684730, 112272607, 467591
1689842097750941415, -6.290663242340088, , , 
1689842098097792717, , 460684725, 112272611, 467532
1689842100575628498, -5.70877742767334, , , 
1689842100945551518, , 460684443, 112273102, 468238
1689842103416403861, -5.960638999938965, , , 
1689842103780863080, , 460684325, 112273782, 467491
1689842106249914433, -7.332624912261963, , , 
1689842106611294329, , 460684348, 112273965, 466060
1689842109077609849, -7.264013290405273, , , 
1689842109447086567, , 460684281, 112274052, 466444
1689842111917725629, -6.926445007324219, , , 
1689842112278826254, , 460684240, 112274088, 467256
1689842114743323128, -6.695372104644775, , , 
1689842115111470367, , 460684216, 112274121, 468167
1689842117578294897, -6.458882808685303, , , 
1689842117937824220, , 460684193, 112274154, 468081
1689842120414198021, -6.515868663787842, , , 
1689842120772043021, , 460684248, 112274158, 468370
1689842174832537708, nan, , , 
1689842176325276291, -0.03553998842835426, , , 
1689842176925902385, , 460683953, 112273456, 487983
1689842177886653358, -0.05801310017704964, , , 
1689842178494696681, , 460684123, 112273734, 482988
1689842179435330714, -0.024540912359952927, , , 
1689842180043831034, , 460684180, 112273834, 481470
1689842181029116787, -0.026519740000367165, , , 
1689842181626593075, , 460684215, 112273862, 480986
1689842182609764626, -0.014871200546622276, , , 
1689842183240163605, , 460684224, 112273888, 480725
1689842184204297222, -0.017704175785183907, , , 
1689842184800293576, , 460684228, 112273928, 480262
1689842185793961209, -0.01234226580709219, , , 
1689842186392726654, , 460684227, 112273938, 480085
1689842187378877381, -0.005371393635869026, , , 
1689842187986664265, , 460684237, 112273960, 479788
1689842188960313990, 0.0008069536997936666, , , 
1689842189571328030, , 460684245, 112273983, 479509
1689842190555042730, 0.012957636266946793, , , 
1689842191162593459, , 460684253, 112274003, 479197
1689842192134709130, 0.007396902423352003, , , 
1689842192765348826, , 460684253, 112274025, 478953
1689842193726470492, -0.0010587575379759073, , , 
1689842194335123348, , 460684261, 112274055, 478558
1689842195317785109, 0.0033316349145025015, , , 
1689842195939008322, , 460684259, 112274079, 478253
1689842196900400699, -0.00048105986206792295, , , 
1689842197510044377, , 460684264, 112274104, 477877
1689842198492520003, -0.004449494648724794, , , 
1689842199099989592, , 460684266, 112274129, 477582
1689842200082690029, -0.007251376751810312, , , 
1689842200678788275, , 460684262, 112274141, 477497
1689842201661374606, -0.018002118915319443, , , 
1689842202291130803, , 460684253, 112274149, 477473
1689842203251655871, -0.01950732059776783, , , 
1689842203861478196, , 460684251, 112274160, 477390
1689842204853534013, -0.029713433235883713, , , 
1689842205451400565, , 460684249, 112274166, 477454
1689842206434896660, -0.0400337316095829, , , 
1689842207032042100, , 460684252, 112274169, 477326
1689842208018435817, 0.6729961633682251, , , 
1689842208638612932, , 460684277, 112273870, 477742
1689842209602512212, 0.7248772382736206, , , 
1689842210210692599, , 460684398, 112273570, 477852
1689842211197629183, 0.6305067539215088, , , 
1689842211801462939, , 460684522, 112273249, 477817
1689842212783809015, 0.5741380453109741, , , 
1689842213389804187, , 460684663, 112272926, 477564
1689842214370014273, 0.41054651141166687, , , 
1689842214995889733, , 460684777, 112272617, 477438
1689842215961515368, -0.12429394572973251, , , 
1689842216564239043, , 460684798, 112272549, 476737
1689842217540867124, -0.2641073167324066, , , 
1689842218153877053, , 460684804, 112272544, 476287
1689842219141839720, -0.27068445086479187, , , 
1689842219741227594, , 460684809, 112272546, 476084
1689842220719622455, -0.31166988611221313, , , 
1689842221329452560, , 460684818, 112272543, 475901
1689842222305465182, -0.3760039210319519, , , 
1689842222914086132, , 460684830, 112272536, 475953
1689842223893388842, -0.40831947326660156, , , 
1689842224496506352, , 460684838, 112272534, 476025
1689842225484475795, -0.42638149857521057, , , 
1689842226093708056, , 460684850, 112272542, 476195
1689842227068834647, -0.43385016918182373, , , 
1689842227680052733, , 460684860, 112272539, 476430
1689842228658376025, -0.41137614846229553, , , 
1689842229269985015, , 460684869, 112272540, 476721
1689842230243000456, -0.3964914083480835, , , 
1689842230870800555, , 460684879, 112272540, 476803
1689842231835066624, -0.4001011550426483, , , 
1689842232432631017, , 460684884, 112272547, 476815
1689842233427771377, -0.38858452439308167, , , 
1689842234030851646, , 460684896, 112272553, 477037
1689842235007227152, -0.3702698349952698, , , 
1689842235616528381, , 460684900, 112272555, 477192
1689842236601837133, -0.31968986988067627, , , 
1689842237222624636, , 460684909, 112272558, 477454
1689842238185406652, -0.276128888130188, , , 
1689842238794841852, , 460684910, 112272559, 477567
1689842239780262142, -0.2840668559074402, , , 
1689842240395166839, , 460684914, 112272562, 477824
1689842241358775790, -0.23276978731155396, , , 
1689842241968483927, , 460684908, 112272561, 477994
1689842242942309708, -0.20455895364284515, , , 
1689842243580351491, , 460684909, 112272563, 478127
1689842244539306529, -0.21665656566619873, , , 
1689842245142736705, , 460684919, 112272564, 478417
1689842246127010460, -0.21120937168598175, , , 
1689842246730006343, , 460684928, 112272568, 478660
1689842247718123647, -0.19241391122341156, , , 
1689842248319124111, , 460684939, 112272564, 478922
1689842249298863855, -0.15218086540699005, , , 
1689842249923256989, , 460684954, 112272557, 479027
1689842250891383394, -0.12366507202386856, , , 
1689842251495194365, , 460684957, 112272554, 479170
1689842252565610034, -0.0852462574839592, , , 
1689842253178045191, , 460684965, 112272546, 479389
1689842254232114389, -0.00884206872433424, , , 
1689842254842017746, , 460684970, 112272541, 479528
1689842255901255678, -0.009599043987691402, , , 
1689842256520264669, , 460684981, 112272540, 479639
1689842257570935752, 0.03947070986032486, , , 
1689842258179821480, , 460684991, 112272538, 479902
1689842259241345683, 0.16319584846496582, , , 
1689842259862895596, , 460685000, 112272528, 480152
1689842260921986010, 0.2318580001592636, , , 
1689842261523042483, , 460685010, 112272527, 480261
1689842262583859439, 0.2857040762901306, , , 
1689842263206411626, , 460685013, 112272523, 480481
1689842264258884405, 0.2963125705718994, , , 
1689842264868623608, , 460685008, 112272524, 480559
1689842265925437494, 0.3475017845630646, , , 
1689842266538830131, , 460685016, 112272524, 480592
1689842267600340858, 0.41026926040649414, , , 
1689842268208834514, , 460685020, 112272527, 480519
1689842269269499991, 0.45001456141471863, , , 
1689842269877878441, , 460685027, 112272531, 480411
1689842270940131976, 0.5029339790344238, , , 
1689842271560679056, , 460685038, 112272542, 480243
1689842272601612372, 0.4911363422870636, , , 
1689842273223829519, , 460685038, 112272548, 480250
1689842274295351417, 0.5458090901374817, , , 
1689842274896200247, , 460685041, 112272561, 480167
1689842275954667595, 0.6073840260505676, , , 
1689842276566605697, , 460685039, 112272567, 480129
1689842277626654642, 0.6353577971458435, , , 
1689842278236672815, , 460685040, 112272573, 480202
1689842279295589530, 0.6711118221282959, , , 
1689842279914895062, , 460685042, 112272577, 480332
1689842280967867178, 0.6589846611022949, , , 
1689842281577994581, , 460685045, 112272577, 480447
1689842282637056654, 0.7331797480583191, , , 
1689842283250800379, , 460685047, 112272577, 480637
1689842284309823486, 0.749151349067688, , , 
1689842284918866052, , 460685047, 112272581, 480709
1689842285978044841, 0.7790526747703552, , , 
1689842286595277319, , 460685046, 112272584, 480577
1689842287658191466, 0.7942771911621094, , , 
1689842288265838703, , 460685057, 112272588, 480577
1689842289326355749, 0.8595485091209412, , , 
1689842289937853787, , 460685067, 112272589, 480716
1689842291000141301, 0.9085781574249268, , , 
1689842291600692475, , 460685072, 112272594, 480904
1689842292671247504, 0.917685866355896, , , 
1689842293282737700, , 460685077, 112272593, 481103
1689842295502896916, 1.0495694875717163, , , 
1689842296108734107, , 460685089, 112272589, 481363
1689842298334628190, 1.4987393617630005, , , 
1689842298945328644, , 460685078, 112272595, 481912
1689842301158333463, 4.751248836517334, , , 
1689842301777965143, , 460685053, 112272592, 485067
1689842303997502894, 8.828205108642578, , , 
