received_time, altitude, lat, lon, alt
1689841243349322129, -0.619718074798584, , , 
1689841243917757598, , 460684285, 112274188, 472143
1689841244924778118, -0.5872510671615601, , , 
1689841245505905618, , 460684283, 112274167, 472304
1689841246525812076, -0.5593500137329102, , , 
1689841247093689315, , 460684287, 112274156, 472502
1689841248105528065, -0.5390022397041321, , , 
1689841248677972127, , 460684293, 112274155, 472643
1689841249694740252, -0.5323923230171204, , , 
1689841250281728116, , 460684293, 112274157, 472735
1689841251280834939, -0.5068913698196411, , , 
1689841251861898688, , 460684295, 112274160, 472796
1689841252870224678, -0.5122240781784058, , , 
1689841253443079104, , 460684295, 112274164, 472861
1689841599251236318, -0.5213528275489807, , , 
1689841599821170016, , 460684296, 112274169, 472877
1689841600839460276, -0.5178983211517334, , , 
1689841601416573973, , 460684294, 112274170, 472921
1689841602431892619, -0.5145527124404907, , , 
1689841602993991108, , 460684302, 112274182, 472900
1689841604009709233, -0.5348901748657227, , , 
1689841604585859806, , 460684302, 112274192, 472905
1689841605602941524, -0.519088864326477, , , 
1689841606171456315, , 460684297, 112274190, 473025
1689841607186685846, -0.4911120533943176, , , 
1689841607767059284, , 460684298, 112274189, 473061
1689841608770868346, -0.461567759513855, , , 
1689841609340687460, , 460684300, 112274195, 473076
1689841610359587720, -0.4208213984966278, , , 
1689841610937465168, , 460684305, 112274205, 473056
1689841611945312199, -0.38216957449913025, , , 
1689841612529321938, , 460684309, 112274210, 473121
1689841613546097354, -0.39016130566596985, , , 
1689841614114137562, , 460684302, 112274202, 473245
1689841615118823552, -0.3549303114414215, , , 
1689841615699750270, , 460684314, 112274215, 473286
1689841616717187770, -0.39724624156951904, , , 
1689841617281873186, , 460684316, 112274220, 473338
1689841618300509436, -0.40058788657188416, , , 
1689841618883773550, , 460684319, 112274230, 473305
1689841619887932248, -0.38894572854042053, , , 
1689841620458403758, , 460684310, 112274242, 473198
1689841621476671518, -0.37258604168891907, , , 
1689841622048874278, , 460684300, 112274252, 473067
1689841623067279226, -0.38912779092788696, , , 
1689841623639207455, , 460684292, 112274258, 472953
1689841624646690840, -0.394937664270401, , , 
1689841625228333964, , 460684281, 112274264, 472875
1689841626246629537, -0.38687756657600403, , , 
1689841626811590318, , 460684264, 112274268, 472905
1689841627837059693, -0.39340946078300476, , , 
1689841628408429953, , 460684252, 112274277, 472917
1689841629419725994, -0.4059286415576935, , , 
1689841629994702452, , 460684242, 112274281, 472899
1689841631004952816, -0.3979712128639221, , , 
1689841631574109952, , 460684234, 112274286, 472819
1689841632589381830, -0.4048905074596405, , , 
1689841633164063342, , 460684225, 112274291, 472793
1689841634185992453, -0.3808664381504059, , , 
1689841634758083428, , 460684220, 112274291, 472773
1689841635761778026, -0.3367091715335846, , , 
1689841636340524862, , 460684214, 112274289, 472766
1689841637360170167, -0.31241050362586975, , , 
1689841637925163156, , 460684206, 112274293, 472661
1689841638943562226, -0.3144681751728058, , , 
1689841639513873630, , 460684207, 112274299, 472467
1689841640529235758, -0.3269301652908325, , , 
1689841641098457464, , 460684198, 112274285, 472251
1689841645114495806, nan, , , 
1689841646621028224, -0.011663316749036312, , , 
1689841648113114567, -0.023001722991466522, , , 
1689841649610639185, -0.026328902691602707, , , 
1689841651112544756, -0.025952376425266266, , , 
1689841651388148376, , 460684068, 112273996, 476991
1689841652671960540, -0.0323205403983593, , , 
1689841652947765596, , 460684121, 112274051, 476433
1689841654224903171, -0.033836692571640015, , , 
1689841654498716441, , 460684143, 112274064, 476432
