"Vector of RSSI per node LoRaNetwork_moving.networkServer.app[0] ($0=""avg"", #0 - General-0-20230512-17:04:34-51471)",,"Vector of RSSI per node LoRaNetwork_moving.networkServer.app[0] ($0=""avg"", #0 - General-0-20230512-17:04:34-51471)",,"Vector of RSSI per node LoRaNetwork_moving.networkServer.app[0] ($0=""avg"", #0 - General-0-20230512-17:04:34-51471)",,"Vector of RSSI per node LoRaNetwork_moving.networkServer.app[0] ($0=""avg"", #0 - General-0-20230512-17:04:34-51471)",,"Vector of RSSI per node LoRaNetwork_moving.networkServer.app[0] ($0=""avg"", #0 - General-0-20230512-17:04:34-51471)",,"Vector of RSSI per node LoRaNetwork_moving.networkServer.app[0] ($0=""avg"", #0 - General-0-20230512-17:04:34-51471)",,"Vector of RSSI per node LoRaNetwork_moving.networkServer.app[0] ($0=""avg"", #0 - General-0-20230512-17:04:34-51471)",,"Vector of RSSI per node LoRaNetwork_moving.networkServer.app[0] ($0=""avg"", #0 - General-0-20230512-17:04:34-51471)",,"Vector of RSSI per node LoRaNetwork_moving.networkServer.app[0] ($0=""avg"", #0 - General-0-20230512-17:04:34-51471)",,"Vector of RSSI per node LoRaNetwork_moving.networkServer.app[0] ($0=""avg"", #0 - General-0-20230512-17:04:34-51471)",
5.54001219924,-67.12739993374199775,7.90153564451,-80.47046722705900355,7.98826916793,-66.5190222169700005,9.01512820662,-70.76885707090798375,9.26175465794,-61.047064013530999,9.79958790168,-69.77232208417299805,12.58883137618,-61.85536711954298975,18.62556560061,-61.91340024580499315,18.81916512355,-71.7884124642069988,19.5449771592,-60.41616454337800215
6.74001219924,-67.12739993374199775,9.10153564451,-80.47046722705900355,9.18826916793,-66.5190222169700005,10.21512820662,-70.76885707090798375,10.46175465794,-61.047064013530999,10.99958790168,-69.77232208417299805,13.78883137618,-61.85536711954298975,19.82556560061,-61.91340024580499315,20.01916512355,-71.7884124642069988,20.7449771592,-60.41616454337800215
17.12160269129,-71.9975795122350061,16.6282767957,-69.0146728884879789,27.06314575458,-77.5860867987589981,25.38048795979,-74.37294060212499825,15.81741185378,-57.55738921421499275,20.6133973123,-61.35210131798199005,19.53415543032,-84.0322460748049875,57.44483855221,-61.40035041300399125,28.38014045366,-74.7989153753139814,32.91006373191,-68.0000659517529866
21.14112268689,-74.53554845952598355,20.64779680517,-72.68013967573000375,48.13762175364,-64.3467838573089919,31.82153504808,-66.88159010654698005,19.84508607296,-62.4078374822770028,24.63291732058,-63.7900436273559988,36.73747196694,-60.35827580987799455,89.8444683165,-63.8278713597799904,32.39966045842,-83.7303337024349898,36.92958374468,-67.80806504703599535
28.25280792415,-80.398706164350983,28.56732171384,-70.92957633973000465,86.07785951425,-65.57261259680799955,37.27010633352,-69.24434825515700685,24.01916581679,-57.18204802618399165,36.24282882171,-63.218046378249994,40.7569919573,-62.8219473129019971,102.19126711344,-66.9902364517849944,37.43879031489,-88.03740557983698485,41.27010739095,-62.9231796349359908
62.97816266962,-71.2335472728420028,46.96464960538,-69.16341916093298875,90.76664106401,-69.742962515670001,41.28962940877,-71.8498918603820013,28.63291796172,-55.7298317314539983,43.91362538288,-65.94005546218198765,45.27010881796,-63.13160358750999965,106.21078712527,-74.75925849174799935,83.83531562007,-74.39667886213098285,48.72889879568,-66.43004578572299555
66.99768266336,-73.90549972082197855,50.98416961394,-66.7778887072259974,113.47374211403,-66.7939376294099814,47.91362685403,-76.79993421427798215,35.82153571976,-60.2599984415699905,63.85401743497,-65.52000271998898005,52.37623089846,-66.17700430099398515,111.34289165545,-65.15191144026599065,97.23807524789,-67.57087281711397935,77.09530082035,-79.59169465142699065
90.90120408998,-75.08733166582499015,56.37623312758,-79.6926889505749895,124.30922399023,-65.2238201816439866,57.85762855154,-88.37907703331498465,40.24282943461,-58.48315080175800035,67.87353744273,-63.44208222095200225,66.3829878335,-60.45869376253600055,115.36241242585,-75.625370490666995,101.25759524995,-66.6671760893419785,81.11482390566,-65.20925811297198025
94.92072408265,-74.3062663399950051,61.44484041266,-72.35561472598999415,139.51798306246,-72.0897271918839803,61.87714855361,-70.34273924953799885,44.75699251773,-56.0010772020909967,87.82363101847,-66.3758062688519883,70.40250976724,-59.6285993336709905,134.12229646135,-75.7382818122139835,106.79995958539,-71.4436812495339948,92.8762314849,-67.02798060281500605
99.7104965045,-75.70141639631998455,65.87714928068,-66.6264603232829981,154.75468586809,-75.28398038694697875,65.99040268072,-70.77908259936998515,61.99039995742,-60.90295619811300275,106.09889372972,-69.1747428745069894,78.38299169513,-72.3214847084699951,138.14181647292,-70.3711983683879791,111.86259925829,-65.5966801135130024,100.05988985974,-63.6824467067930013
145.20176174172,-71.53130776645400565,81.64164133906,-71.7392122025449905,161.89079740385,-77.05575568989098635,70.00992606174,-65.0702578957839816,66.00992333985,-66.93884983328697985,116.12451783054,-67.3251380771799856,85.0953032292,-65.8341504851480008,143.13118942581,-65.01270051330499175,115.88211925975,-66.50520307989700065,104.8298673842,-69.8581996126490023
157.73254265242,-74.5257980362709983,91.69097444799,-66.5755530269279914,168.76954512308,-69.0622137414439973,74.38299119007,-67.1905943472479803,70.38298847057,-55.1465723427709944,164.50039239906,-70.59540980682700685,89.11482629145,-58.96153689059899225,157.5837545518,-71.8826863714839985,131.92362534099,-70.5036430736659836,108.84938928533,-71.18948243740200565
178.81921741915,-73.53987079097498715,95.71049445509,-71.3767195894519941,180.8402567428,-65.4536754031999803,81.09530274354,-67.753771961650983,78.04543090446,-77.1629817656129828,168.519912405,-70.87855316011498955,93.84446944206,-63.22340557466199565,164.94168784249,-74.35838787525699415,135.94314534164,-72.66264650551499905,115.34289239072,-72.26100846869698515
184.92022042548,-66.849642312610001,107.4296285677,-69.5964940806699983,187.57586465502,-75.5442026864529904,85.11482581727,-79.4335578688999814,85.43463111442,-58.6646327543789991,172.76954693808,-62.7153697582529898,97.88749628195,-60.9165810559269969,182.09091893059,-65.8675487609749834,154.87901651457,-78.04456549866799225,132.84531241297,-71.23355203841597905
188.93974041498,-72.2533576232189883,144.82111340351,-69.3340214045819889,210.2009727263,-64.70342235129800175,105.53862804523,-70.2432665329969834,89.8679750816,-62.6573643552479919,177.59929576889,-67.52390430659499965,102.92072603982,-65.36300937204399005,210.88835681997,-68.3852828301589851,158.89853651429,-83.68466254829797855,139.93067318882,-62.9696415286909994
192.95926516621,-68.73624130736899905,148.84063340872,-70.2902490602249938,214.22049273343,-69.29558952852698875,116.44108391065,-79.7268475088909835,93.88749508861,-58.70143326506300215,182.25956467843,-71.08453767505199005,107.71049845829,-74.72521231025999065,227.10122288774,-61.57334042476499265,171.91818444958,-73.5538260401809791,143.95019320088,-70.90792508195400485
198.05142752966,-75.3246850530859998,155.29710027408,-74.8007576380169891,218.64410914943,-65.5840202480389959,120.46060391068,-72.4977182324510066,98.92072486878,-61.159655177483003,186.81921910266,-77.55242199825198635,112.82986878375,-76.58137901202300635,251.9112057074,-68.94579835521199105,207.00983052711,-73.90061073306298985,157.96796055065,-66.0009489406949964
209.92164540864,-66.6141437801919946,169.59929377314,-75.68812567161299375,226.41947715684,-61.87425636804299215,128.30922932026,-70.57356458301799735,103.71049730913,-72.00361013678099175,191.12989379875,-71.16818511675600655,116.84939071714,-63.9261149178539936,261.521400529,-69.0060259240979971,229.3317649379,-71.31972902720897855,161.98748056235,-64.4999669076489963
213.94116539745,-65.70722985746900215,173.61881699396,-72.3848186733430051,230.43899968382,-67.3975830525880039,147.27727864954,-71.31278185347397855,108.82986765861,-64.2548602464569851,197.80801183701,-66.3122547655399896,131.69983134131,-59.1352686609839961,265.54092053805,-99.7362403671099853,268.10137093453,-69.4941726111719899,188.95926262118,-65.4828388496869988
218.29049341825,-72.3114722310909881,198.95339879928,-70.3936621262409969,239.36110797965,-70.1933669494320041,163.98714439622,-75.43468950336298885,112.84938961129,-69.1517744566149869,207.05434104652,-67.6884850398620014,139.13118786517,-69.896164631114999,269.70247833105,-73.62769145595498765,275.06213016816,-72.79119072727598875,195.12989491984,-73.66782303108999455
246.13809952528,-70.6967566559479789,214.64410728365,-72.62704306377000265,243.38063050755,-78.25316421359198635,187.12989337107,-65.29845508040799,130.24296530204,-66.42846706941600105,232.75317663692,-64.7074987416299903,144.89041757904,-68.76697060355797905,275.31267985842,-75.10443503245099325,285.10360716009,-68.3531369848049903,201.66325104115,-74.8698984777669804
260.71428746387,-77.227295743090991,235.61473083662,-66.6894754747609963,256.28009309992,-70.0692911802399859,197.66324949983,-80.8809599161349976,134.96525280082,-60.88024970538499735,236.77269664129,-65.90717488544899515,148.90993756871,-57.69053514032299265,281.8847709537,-68.69791391537100335,289.12312715466,-78.85461295034599485,208.87732665714,-75.0795405963449978
265.70247633881,-66.3919085843899948,253.45485334647,-79.2391502224089944,285.36077855664,-65.08017744508799735,216.75575438482,-101.3046716921799938,140.84569093338,-66.957203604954003,244.93957012148,-66.02797571176498055,156.04928269542,-63.4023167454510028,292.58030750173,-69.7274574018449866,295.05314387908,-69.37647377242700455,246.02797043249,-80.3579682968109804
271.62168985454,-80.4437823603389856,257.47437334752,-75.91286303122498655,298.53376962773,-66.0288751441569841,235.63425128485,-83.20662669403898765,152.04928179216,-58.8997904714560005,248.95909262955,-64.399512364190002,161.58375530668,-69.62870014510500005,296.59982862923,-69.0549584021559893,299.74891198421,-68.55659057322100105,250.04749044181,-71.60523050884199825
