"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230502-15:06:52-44960)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230502-15:06:52-44960)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230502-15:06:52-44960)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230502-15:06:52-44960)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230502-15:06:52-44960)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230502-15:06:52-44960)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230502-15:06:52-44960)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230502-15:06:52-44960)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230502-15:06:52-44960)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230502-15:06:52-44960)",
552.77062138952,-65.47717849818999955,788.92327442504,-62.70383559963599375,797.59663713153,-67.9425642391819903,900.28252020971,-63.73628451100199735,924.94526590073,-68.8898225840920016,978.72855786362,-69.33990860878600385,1257.65289213673,-59.4437003777149894,1861.3263439032,-72.00640802641899515,1880.68618621342,-66.7743559203640016,1953.26747049277,-76.66267729717100075
553.97062138952,-65.47717849818999955,790.12327442504,-62.70383559963599375,798.79663713153,-67.9425642391819903,901.48252020971,-63.73628451100199735,926.14526590073,-68.8898225840920016,979.92855786362,-69.33990860878600385,1258.85289213673,-59.4437003777149894,1862.5263439032,-72.00640802641899515,1881.88618621342,-66.7743559203640016,1954.46747049277,-76.66267729717100075
1592.12992205339,-68.4431491555399985,1542.79738523385,-59.5589225836209974,2586.28430057019,-70.03912747179899125,2418.01849670389,-59.94591582851899125,1461.7109861286,-80.80558907466800605,1941.30949692937,-62.2161468492000009,1833.38529887796,-60.7543310966249945,2575.10993723642,-70.96874004255298,2327.3056481332,-69.90184333936898025,2279.8078860218,-65.695772622421998
2568.99399612409,-68.43498375238598875,2600.62379858608,-76.98639430432098125,3230.38901139681,-74.8631105236839855,3436.67722672272,-70.7522845201540061,2850.75367341561,-68.22450181933697855,2774.15301549954,-61.20269563093098925,2919.65467975624,-60.94425767822299605,3462.97134767315,-82.6540668334990014,3543.81430156979,-66.0154548926339826,2787.00800677438,-77.9278836763549801
4025.81255468828,-77.2568506908459934,4708.07140353645,-74.01172986196300455,7011.32996851979,-68.68660100873398705,3624.19617792546,-60.18457284394600005,4690.48645849308,-73.5903702865449813,6246.688494782,-66.20901682270499555,4921.6411752822,-71.16598192594000215,4993.8025739405,-70.73826232080500605,4680.41079682701,-62.4517165402929916,3088.57392250172,-62.47134984919199465
4634.64546842546,-71.1011064768989908,5831.53190558842,-70.60789996673199165,10045.27253841333,-68.88222564268400535,3875.79479103835,-66.9776153814530059,6001.45882665347,-72.13493374643797975,8161.53074992065,-65.97616055574198385,5150.88550048917,-62.5761399051489915,7334.29453710189,-70.058559041694991,6803.15745076895,-69.57179287530800565,3633.43104814237,-62.428559853846991
6800.40914679609,-67.9451290684120008,6352.61072416915,-66.2675661939479991,14771.6677377785,-73.91403347118600175,5237.72651283996,-71.7722703943869928,6763.88251337235,-63.521352301055998,10435.2379191123,-65.6350446900609936,5426.41343752748,-62.20124320463499125,8102.75711198892,-72.49670825809599225,8394.71357606614,-63.4902270753059949,4203.32861595283,-68.20209682476098555
7441.38269205996,-83.67982254958599215,6584.03169862832,-74.44029093934898325,15010.4762947244,-74.81988969033699235,5568.63639652009,-62.98497242142599335,9177.89894137631,-79.75422008344600015,10627.33349275693,-61.8503516208119916,6421.87708089415,-66.4509860775679895,8441.10323068759,-69.2192670414289918,8838.04797206743,-62.0845382782709974,5241.17868893801,-64.9203893103789935
7706.31763220139,-62.28215566884199435,8114.88011506764,-62.42719562787600265,16263.55439122723,-72.8026355059180045,5995.17220855659,-67.60741361663599465,9583.62528774722,-67.8462748959179859,11077.04686070309,-66.4175963254149903,8647.96107033602,-58.61272052750000205,8909.89892232669,-70.7396409589359789,9320.62318722817,-70.55054247996199,5653.90855566485,-72.67996231347998985
8669.91032598658,-68.47695957303298515,9456.89985875424,-69.4134500208159861,18273.06300542379,-80.9203628887480019,6505.16303990197,-69.15199932559099215,10757.69542454163,-69.61473845576600155,12275.19824854749,-58.0128771911629994,9381.1864065106,-66.8977378767749824,11180.60903222737,-64.7525107312089856,10038.98902243942,-67.25000238105599215,6113.69987344064,-65.22025364833700655
9904.59020454406,-63.4105852269370016,10155.48086232931,-70.8523842179849905,18980.0311719816,-85.8687284816229803,7139.09516889747,-68.36675515621999435,11827.77791166561,-75.52388764831999855,15472.857008457,-61.5644314756129913,10511.64360482495,-59.27400195707099315,11918.7457747758,-73.07018090160499905,10619.99767789889,-66.96593426869600285,6679.59441507549,-75.0014558965160059
10162.17507088527,-77.845787888199993,12338.1947541188,-73.59916696767299955,21006.91812905698,-65.2146677270629878,7505.80032269155,-65.40765581829899115,12440.74518034738,-73.26057371247497915,15917.57546341209,-60.5252830295659973,11703.89584690732,-68.69369500198197875,12399.03758608022,-80.54680969604598285,11966.62496393115,-71.64539765054698225,7073.65198702245,-63.75500096767099455
10639.17281932564,-69.2414307732839799,13080.91850131386,-71.3209075897269994,22265.81413420935,-70.003778034741998,7796.0737353108,-68.17377080554399505,13925.55925689946,-82.7459776274390035,16122.77828174071,-67.01073013288799965,12185.87505897179,-78.28057523470499725,12866.19081504455,-73.21705935815600665,14019.75830392098,-67.8709095859790066,8064.93149528577,-63.9892615631709985
11779.69729679323,-63.60843314150199005,16473.84921595541,-78.98175882139500425,22550.32496596556,-66.246612016447983,8470.01717952952,-70.45494400360698215,16606.55434664669,-79.5328324884949891,17633.18309792483,-58.18890275870199935,13437.38401341844,-61.3991604022649963,13561.46659603119,-75.25817579448499785,15201.1637025123,-70.7456251468879881,9151.13480644307,-73.04064421821999505
12433.15055401601,-80.63172279102298005,17317.00076090291,-65.38324306372300025,24834.1959094827,-70.0901265415979819,10641.24306088374,-60.5857875491119981,19506.053000323,-61.48579151261999675,17961.84515809827,-68.01994632808398905,13681.31368327975,-68.5910261585599981,17267.45723335275,-64.13784755886399555,16522.75380869241,-68.08323524279700205,9436.70372444218,-71.47841635397898555
12741.08934959665,-68.2519608946339813,17549.30612755547,-64.00648920769498285,26991.47237572831,-68.2687048811529846,11363.84530092298,-77.4732975336889919,20143.6847195772,-81.8688967217029809,19521.39643731801,-57.38910813930499435,14246.936606806,-61.43865854572699425,18491.84026683062,-84.8542198018649853,17011.24309508283,-68.87551267450899655,10444.71726492652,-76.1874955937229853
13239.60568401438,-71.25350069692299805,19085.17099083123,-68.56296896556500515,27402.57493416135,-69.35327955104997925,12731.89932229841,-67.40505030485400055,22495.74060214465,-76.57387048798000215,19814.93884316733,-65.40322092041100155,15308.48992310233,-62.49437888645999785,20608.12411486962,-78.80598563336900475,21973.27583997881,-69.1168878523139936,11036.02005299998,-65.9198812136770013
15197.02407374999,-78.40128614663998935,20591.49365559757,-78.78589998085098475,27764.14938383048,-75.78503559646600215,13161.82152253314,-79.5475828226799988,22917.77598929854,-70.27642133035800475,20459.91468085538,-68.3070253661969955,16493.17607125329,-62.7896725754889926,21826.43689103324,-69.638596553171993,22424.61310913041,-62.8953799690790019,11630.4860696984,-65.19629606377600315
15738.49656991757,-74.2208072568629969,22137.29986451057,-67.2100183985429849,28270.01013373298,-83.28316087005399005,13472.71358563712,-67.188517872307983,23123.34580060558,-67.2811585021960068,20665.03165386336,-58.9808426940669929,16900.35325429566,-61.99422604213299315,22278.17909721456,-69.60935113698999965,22934.14354396293,-77.91666887111497875,13078.63219364802,-71.1456854036139814
19040.68051986665,-70.6638295575720005,23354.57937140986,-68.9551615033959988,29517.90801732076,-68.33301385844498535,14978.56473122172,-76.6189424401199798,26478.47026353486,-68.5759128876970008,20843.63069943184,-63.8291493122829931,18215.75574685451,-71.449237852202003,23899.46570240579,-67.90483246226398225,24025.37446305594,-69.37483546284298055,13403.4489982943,-79.8850878857109873
20573.6869256386,-71.9650975173630056,23654.84345326443,-63.45298047472900275,30660.83224254779,-64.4901380486410003,15162.53867485215,-66.64473553561199965,28490.56409071746,-63.1074886668009893,21456.88122095343,-61.77902274791699685,19851.86548494692,-65.312985583696985,25369.69889735237,-88.2177951596679858,25638.81336666683,-72.6953563764649854,18218.14699552179,-70.8717812767779945
21685.73581199515,-64.37300845881600235,25632.38539223663,-66.4516376433709863,31978.13134576261,-66.88304430691900375,15971.3287986281,-58.9663361450289895,28965.80994358494,-64.3472632622979856,23192.7509992761,-67.2596550783530061,21587.53393695561,-67.0775435567179838,26323.61331822226,-68.6556660392169816,25909.9964787126,-71.0112078011050014,20013.80393686493,-69.4294033614529836
22201.82053768733,-65.24061956577199315,29674.79516226925,-75.25603902640298735,32308.65652196463,-78.5317174637930006,16413.4789730607,-60.48160877113299685,30151.26816563549,-64.61849669079498405,26759.87579856902,-58.2872312035089945,21767.04263294413,-66.0699698206680066,27844.53918709626,-67.22100108330798185,26260.81996627662,-64.07481092210500125,21234.40780872493,-77.47870106353198575
22529.17490365121,-81.75808333000298915,33521.70889034029,-65.90803754780998225,34607.76472138234,-72.7502194218539838,17102.99189498227,-69.08344404177799415,30644.39643546412,-70.44679429273398315,27322.25021552067,-70.436407491343999,21967.29558786237,-59.6231346301039903,28799.76938363193,-70.6930969962619995,27507.83760248367,-80.38879155542699065,25419.05811669075,-73.55180610560898885
24224.28526028618,-77.17144421447699155,33977.84897285585,-67.45581515385399005,35791.03118050767,-80.6372750092109809,18416.27825032864,-60.76244789199699875,30844.82786741346,-101.0849828956199868,28027.97661419369,-68.03506507986998005,22872.60592964781,-58.6625742234270004,29848.61054863967,-73.60006905251699975,27722.56206321804,-64.09848785229598875,28658.45623876227,-77.30483488853298
24569.84699699992,-61.51293942039200115,34587.75694836118,-68.37397799649400535,36799.74948542186,-66.50195530661500215,19546.81827795166,-69.2661411257849975,31212.32117059463,-74.5310834704989983,32128.37829951833,-64.5669308959890029,23351.60247172164,-77.6889177768260023,30571.14604016127,-69.56557511102599255,28340.69493576925,-68.64671606247699715,28909.25883522012,-64.072447111116986
25650.23487257181,-76.2750217309059903,35005.40389982258,-77.44416290850799075,37997.46316266751,-73.8856559971409863,20532.20852250221,-67.738976913398005,32846.74653958017,-67.22338039722299615,32692.70640274614,-62.74365914076300015,24263.69197245794,-66.1108553922939846,31640.6996952323,-64.72073311556499655,29440.81482951548,-65.75429937778199,30390.42542020399,-70.3642234657660023
