"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230503-15:41:21-12642)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230503-15:41:21-12642)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230503-15:41:21-12642)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230503-15:41:21-12642)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230503-15:41:21-12642)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230503-15:41:21-12642)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230503-15:41:21-12642)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230503-15:41:21-12642)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230503-15:41:21-12642)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230503-15:41:21-12642)",
552.77062136509,-76.19674926808798405,788.92327439601,-62.45083060981599465,797.59663711377,-67.84785798789698655,900.28252017259,-63.3223600476659951,924.94526587131,-64.74986645668599275,978.72855780735,-68.38833083232799455,1257.65289209114,-58.81938811007299225,1861.32634385893,-74.73698677677398885,1880.68618618636,-66.5545237262359988,1953.26747046598,-76.46257478546999635
553.97062136509,-76.19674926808798405,790.12327439601,-62.45083060981599465,798.79663711377,-67.84785798789698655,901.48252017259,-63.3223600476659951,926.14526587131,-64.74986645668599275,979.92855780735,-68.38833083232799455,1258.85289209114,-58.81938811007299225,1862.52634385893,-74.73698677677398885,1881.88618618636,-66.5545237262359988,1954.46747046598,-76.46257478546999635
1592.12992202896,-80.99625061343698435,1542.79738520482,-59.3059175938009984,2586.28430055243,-69.9444212205139875,2418.01849666677,-59.53199136518300315,1461.71098609918,-70.53147028287997925,1941.3094968731,-61.2645690727419915,1833.38529883237,-60.13001882898299735,2575.10993719215,-73.69931879290697875,2327.30564810614,-69.6820111452410058,2279.80788599501,-65.4956701107209935
2568.99399609966,-74.6433787563539963,2600.62379855705,-76.73338931449998735,3230.38901137905,-74.76840427239898165,3436.6772266856,-70.338360056818004,2850.75367338619,-80.64658969994400165,2774.15301544327,-60.2511178544740031,2919.65467971065,-60.31994541058099885,3462.97134762888,-85.38464558385300015,3543.81430154273,-65.79562269850498505,2787.00800674759,-77.72778116465400415
4025.81255466385,-76.82485060401498315,4708.07140350742,-73.75872487214300535,7011.32996850203,-68.59189475744898315,3624.19617788834,-59.770648380609998,4690.48645846366,-72.63992809005298985,6246.68849472573,-65.2574390462479809,4921.64117523661,-70.5416696582969959,4993.80257389623,-73.46884107115900485,4680.41079679995,-62.2318843461650031,3088.57392247493,-62.2712473374909903
4634.64546840103,-66.82892303248598835,5831.53190555939,-70.35489497691099785,10045.27253839557,-68.7875193913990014,3875.79479100123,-66.56369091811700375,6001.45882662405,-63.16361090374699905,8161.53074986438,-65.024582779284003,5150.88550044358,-61.95182763750699425,7334.29453705762,-72.7891377920489898,6803.15745074189,-69.35196068118000285,3633.43104811558,-62.2284573421460008
6800.40914677166,-75.6876632405599988,6352.61072414012,-66.01456120412800005,14771.66773776074,-73.81932721990199265,5237.72651280284,-71.3583459310509906,6763.88251334293,-64.4047891337120004,10435.23791905603,-64.68346691360298425,5426.41343748189,-61.576930936992994,8102.75711194465,-75.2272870084499911,8394.71357603908,-63.27039488117699735,4203.32861592604,-68.00199431305998105
7441.38269203553,-69.0530295547479793,6584.03169859929,-74.18728594952898415,15010.47629470664,-74.72518343905198855,5568.63639648297,-62.57104795808999115,9177.89894134689,-63.5038227942630014,10627.33349270066,-60.89877384435399655,6421.87708084856,-65.82667380992498335,8441.10323064332,-71.94984579178299065,8838.04797204037,-61.8647060841429945,5241.17868891122,-64.72028679867699435
7706.31763217696,-74.9654539074099941,8114.88011503861,-62.1741906380559894,16263.55439120947,-72.70792925463300075,5995.17220851947,-67.1934891532999925,9583.6252877178,-71.1341606059809803,11077.04686064682,-65.46601854895698105,8647.96107029043,-57.98840825985799065,8909.89892228242,-73.4702197092900061,9320.62318720111,-70.3307102858329925,5653.90855563806,-72.47985980177898535
8669.91032596215,-76.28025711071398935,9456.89985872521,-69.16044503099598705,18273.06300540603,-80.8256566374629981,6505.16303986485,-68.73807486225499,10757.69542451221,-64.1102797460760028,12275.19824849122,-57.0612994147049902,9381.18640646501,-66.27342560913299935,11180.6090321831,-67.4830894815639793,10038.98902241236,-67.03017018692798935,6113.69987341385,-65.02015113663600215
