"received simTime LoRaNetwork_moving.networkServer.app[0] ($0=""avg"", #0 - General-0-20230512-16:17:19-19966)",,"received simTime LoRaNetwork_moving.networkServer.app[0] ($0=""avg"", #0 - General-0-20230512-16:17:19-19966)",,"received simTime LoRaNetwork_moving.networkServer.app[0] ($0=""avg"", #0 - General-0-20230512-16:17:19-19966)",,"received simTime LoRaNetwork_moving.networkServer.app[0] ($0=""avg"", #0 - General-0-20230512-16:17:19-19966)",,"received simTime LoRaNetwork_moving.networkServer.app[0] ($0=""avg"", #0 - General-0-20230512-16:17:19-19966)",,"received simTime LoRaNetwork_moving.networkServer.app[0] ($0=""avg"", #0 - General-0-20230512-16:17:19-19966)",,"received simTime LoRaNetwork_moving.networkServer.app[0] ($0=""avg"", #0 - General-0-20230512-16:17:19-19966)",,"received simTime LoRaNetwork_moving.networkServer.app[0] ($0=""avg"", #0 - General-0-20230512-16:17:19-19966)",,"received simTime LoRaNetwork_moving.networkServer.app[0] ($0=""avg"", #0 - General-0-20230512-16:17:19-19966)",,"received simTime LoRaNetwork_moving.networkServer.app[0] ($0=""avg"", #0 - General-0-20230512-16:17:19-19966)",
5.54001219924,5.54001219923999952,7.90153564451,7.90153564450999998,7.98826916793,7.988269167929999485,9.01512820662,9.015128206619998205,9.26175465794,9.26175465793999915,9.79958790168,9.79958790167999888,12.58883137618,12.58883137617999987,18.62556560061,18.6255656006099954,18.81916512355,18.81916512355000031,19.5449771592,19.54497715919999472
6.74001219924,6.74001219923999881,9.10153564451,9.101535644509997475,9.18826916793,9.188269167929998765,10.21512820662,10.2151282066199975,10.46175465794,10.46175465793999844,10.99958790168,10.99958790167999816,13.78883137618,13.78883137617999917,19.82556560061,19.8255656006099982,20.01916512355,20.01916512354999602,20.7449771592,20.74497715919999757
17.12160269129,17.12160269129000047,16.6282767957,16.6282767956999961,27.06314575458,27.06314575457999882,25.38048795979,25.3804879597899954,15.81741185378,15.81741185377999762,20.6133973123,20.61339731229999463,19.53415543032,19.53415543031999838,57.44483855221,57.44483855221000095,28.38014045366,28.38014045365999737,32.91006373191,32.91006373191000012
21.14112268689,21.14112268689000008,20.64779680517,20.64779680516999597,48.13762175364,48.13762175363999045,31.82153504808,31.82153504808000107,19.84508607296,19.84508607296000087,24.63291732058,24.63291732057999882,36.73747196694,36.73747196693999217,89.8444683165,89.8444683164999841,32.39966045842,32.39966045842000127,36.92958374468,36.92958374468000195
28.25280792415,28.25280792414999795,28.56732171384,28.56732171383999472,86.07785951425,86.07785951424997925,37.27010633352,37.27010633351999025,24.01916581679,24.01916581679000002,36.24282882171,36.2428288217099917,40.7569919573,40.75699195730000195,102.19126711344,102.1912671134400054,37.43879031489,37.43879031488999925,41.27010739095,41.27010739095000232
62.97816266962,62.9781626696199905,46.96464960538,46.96464960538000335,90.76664106401,90.76664106401000215,41.28962940877,41.28962940876999695,28.63291796172,28.6329179617199968,43.91362538288,43.91362538287999925,45.27010881796,45.27010881795999332,106.21078712527,106.2107871252700019,83.83531562007,83.83531562006999105,48.72889879568,48.7288987956799955
66.99768266336,66.99768266335999535,50.98416961394,50.9841696139399969,113.47374211403,113.4737421140299882,47.91362685403,47.91362685402999925,35.82153571976,35.8215357197599927,63.85401743497,63.8540174349699894,52.37623089846,52.3762308984599938,111.34289165545,111.3428916554499888,97.23807524789,97.2380752478899804,77.09530082035,77.0953008203499903
90.90120408998,90.9012040899799838,56.37623312758,56.37623312757999345,124.30922399023,124.3092239902299805,57.85762855154,57.8576285515400028,40.24282943461,40.24282943461000155,67.87353744273,67.87353744272999705,66.3829878335,66.38298783349998165,115.36241242585,115.3624124258499813,101.25759524995,101.2575952499499859,81.11482390566,81.1148239056599888
94.92072408265,94.9207240826499966,61.44484041266,61.44484041265999935,139.51798306246,139.5179830624599611,61.87714855361,61.8771485536099986,44.75699251773,44.75699251772999767,87.82363101847,87.82363101846999565,70.40250976724,70.4025097672399906,134.12229646135,134.1222964613500035,106.79995958539,106.7999595853899844,92.8762314849,92.876231484899989
99.7104965045,99.7104965044999853,65.87714928068,65.87714928067998675,154.75468586809,154.7546858680900066,65.99040268072,65.99040268071999515,61.99039995742,61.99039995741999555,106.09889372972,106.0988937297200035,78.38299169513,78.38299169512998755,138.14181647292,138.1418164729199696,111.86259925829,111.8625992582900035,100.05988985974,100.0598898597399963
