"Vector of RSSI per node LoRaNetwork_straight.networkServer.app[0] ($0=""avg"", #0 - General-0-20230518-18:36:21-53244)",,"Vector of RSSI per node LoRaNetwork_straight.networkServer.app[0] ($0=""avg"", #0 - General-0-20230518-18:36:21-53244)",,"Vector of RSSI per node LoRaNetwork_straight.networkServer.app[0] ($0=""avg"", #0 - General-0-20230518-18:36:21-53244)",,"Vector of RSSI per node LoRaNetwork_straight.networkServer.app[0] ($0=""avg"", #0 - General-0-20230518-18:36:21-53244)",,"Vector of RSSI per node LoRaNetwork_straight.networkServer.app[0] ($0=""avg"", #0 - General-0-20230518-18:36:21-53244)",,"Vector of RSSI per node LoRaNetwork_straight.networkServer.app[0] ($0=""avg"", #0 - General-0-20230518-18:36:21-53244)",,"Vector of RSSI per node LoRaNetwork_straight.networkServer.app[0] ($0=""avg"", #0 - General-0-20230518-18:36:21-53244)",,"Vector of RSSI per node LoRaNetwork_straight.networkServer.app[0] ($0=""avg"", #0 - General-0-20230518-18:36:21-53244)",,"Vector of RSSI per node LoRaNetwork_straight.networkServer.app[0] ($0=""avg"", #0 - General-0-20230518-18:36:21-53244)",,"Vector of RSSI per node LoRaNetwork_straight.networkServer.app[0] ($0=""avg"", #0 - General-0-20230518-18:36:21-53244)",
5.54001227553,-67.46925532128099665,7.90153574901,-81.133830359310991,7.98827164416,-80.1326809144459841,9.0151281405,-77.32057949405600505,9.26175716429,-93.2866028423029828,9.79958914763,-76.0919818949149939,12.58883303696,-81.07887931137298635,18.62556749832,-94.3685637273860035,18.81916446139,-68.1589982149599789,19.54497872528,-70.94856607264497905
6.74001227553,-67.46925532128099665,9.10153574901,-81.133830359310991,9.18827164416,-80.1326809144459841,10.2151281405,-77.32057949405600505,10.46175716429,-93.2866028423029828,10.99958914763,-76.0919818949149939,13.78883303696,-81.07887931137298635,19.82556749832,-94.3685637273860035,20.01916446139,-68.1589982149599789,20.74497872528,-70.94856607264497905
17.12160275009,-72.263707578804002,16.62827686014,-69.4242257394989791,27.06314821916,-92.5667072289629968,25.38048783091,-73.57588246487298955,15.81741434914,-69.52697978855198325,20.61339850764,-79.38237310734299925,19.53415708546,-76.7371389798259994,57.44484022751,-87.18497656658399785,28.38013975418,-65.5872451647680063,32.91006522471,-73.5121778276800054
21.14112273927,-74.77358328081598385,20.64779684843,-72.955267951362998,48.13762419865,-72.99198162379198575,31.82153489315,-86.4978079928170014,19.84508855938,-87.76071296873098455,24.63291849483,-74.9708186052569939,36.73747360606,-85.04714081811499655,89.84446979758,-85.75317915530300155,32.39965974127,-64.904583264872002,36.92958521321,-81.3638780725860041
28.25280796567,-80.5887334069219886,28.5673217158,-70.94206442246300505,86.07786190352,-81.8226199856199795,37.27010615686,-70.8045534947129905,24.01916829331,-72.6411489685049785,36.24282993534,-78.4956965199469889,40.75699359284,-72.58528589905299065,102.19126852064,-81.2822925095619834,37.43878957581,-68.3292694413320019,41.27010883325,-76.2351915072169956
62.97816266702,-71.22122197018398965,46.96464951371,-68.5766342697209834,90.76664344423,-80.2759644691159903,41.28962921624,-67.3510048231649986,28.63292042654,-75.1140938829470028,43.9136264567,-75.0757687894719934,45.27011044956,-73.2573522795839834,106.21078850847,-81.3079266644659808,83.83531469192,-68.17780194740498685,48.72890019289,-71.5082933573839908
66.99768265661,-73.87329938130099515,50.98416950226,-66.0621112627569856,113.4737444428,-81.3889408243499869,47.91362663566,-67.52478115330899275,35.82153816466,-76.0325597981619975,63.8540184063,-80.23984932916999905,52.37623252401,-78.87955186063899725,111.34289300806,-75.404122915534003,97.23807426961,-64.5800889893259861,77.09530204649,-74.11495585577497955
90.9012040626,-76.52041474946898315,56.37623298931,-78.8049274600879809,124.30922628976,-80.1168390479739966,57.85762829513,-63.2870598836279895,40.24283186623,-80.728353195328992,67.8735383936,-66.68981688192198455,66.3829894476,-72.12477804571798825,115.36241375454,-78.2096657572369903,101.25759425704,-73.54473198065099355,81.11482510769,-73.50426976811098685
94.92072405248,-74.15741224097197885,61.44484024967,-71.30727159162199735,139.51798531561,-79.433975041695987,61.87714828208,-73.3283387434079825,44.75699493497,-71.22538495839600585,87.8236318688,-72.42073318410399415,70.40251137816,-78.5046592626409844,134.12229767905,-78.7435504339150039,106.79995857263,-57.64318902194999315,92.87623261666,-72.80350623009900315
99.71049647126,-75.5364380992079984,65.87714909629,-65.4385437867439916,154.75468806844,-76.091420229098986,65.99040239387,-66.08999968217199215,61.99040231221,-78.7606078034069978,106.09889448961,-74.98382495639100375,78.38299329989,-77.3391492984499958,138.141817667,-88.0477290014219986,111.86259822772,-65.5891944015149873,100.05989094882,-68.27929032268798415
