,node_num,rssi_value,simtime,time_step,kalman
6,node0,-66.51902221697,0.9188269167930001,0.1200000000000001,-66.51902221697
7,node4,-61.047064013531,0.9261754657939999,0.0,-61.047064013531
8,node9,-69.772322084173,0.979958790168,0.0,-69.772322084173
9,node1,-70.76885707090798,1.0215128206619999,0.11999999999999988,-70.76885707090798
10,node4,-61.047064013531,1.0461754657940001,0.12000000000000022,-61.047064013531
11,node9,-69.772322084173,1.099958790168,0.11999999999999988,-69.772322084173
12,node2,-61.85536711954298,1.258883137618,0.0,-61.85536711954298
13,node2,-61.85536711954298,1.378883137618,0.11999999999999988,-61.85536711954298
14,node4,-57.55738921421499,1.581741185378,0.5355657195839998,-60.90293916609646
15,node6,-69.01467288848798,1.6628276795699999,0.752674115119,-79.96203820829325
16,node8,-71.997579512235,1.712160269129,1.0381590492050001,-67.36957925318923
17,node3,-61.91340024580499,1.862556560061,0.0,-61.91340024580499
18,node7,-71.788412464207,1.8819165123550001,0.0,-71.788412464207
19,node2,-84.03224607480497,1.953415543032,0.574532405414,-62.7821365121973
20,node5,-60.416164543378,1.9544977159199999,0.0,-60.416164543378
21,node3,-61.91340024580499,1.9825565600609998,0.11999999999999988,-61.91340024580499
22,node4,-62.407837482277,1.984508607296,0.4027674219180002,-60.97710620766628
23,node7,-71.788412464207,2.001916512355,0.11999999999999966,-71.788412464207
24,node9,-61.35210131798199,2.06133973123,0.961380941062,-69.36691117691069
25,node6,-72.68013967573,2.064779680517,0.4019520009469999,-79.49487831232629
26,node5,-60.416164543378,2.07449771592,0.12000000000000033,-60.416164543378
27,node8,-74.53554845952598,2.114112268689,0.40195199955999983,-67.86106144970202
28,node4,-57.18204802618399,2.401916581679,0.4174079743829999,-60.70964264510758
29,node9,-63.790043627356,2.463291732058,0.401952000828,-68.97775280015657
30,node1,-74.372940602125,2.538048795979,1.516535975317,-70.99174222142774
31,node0,-77.58608679875901,2.706314575458,1.7874876586649997,-67.2977167181761
32,node8,-80.39870616435097,2.825280792415,0.7111685237260001,-69.11322560340047
33,node7,-74.79891537531398,2.838014045366,0.8360975330110003,-71.92627383735342
34,node6,-70.92957633973,2.856732171384,0.7919524908670001,-78.62510557773746
35,node4,-55.729831731454,2.863291796172,0.4613752144930001,-60.25722014984541
36,node1,-66.88159010654698,3.1821535048080003,0.6441047088290004,-70.66438146633055
37,node7,-83.73033370243499,3.2399660458420003,0.4019520004760002,-72.65605202655141
38,node5,-68.00006595175299,3.291006373191,1.216508657271,-60.82411735956424
39,node4,-60.25999844156999,3.582153571976,0.7188617758039997,-60.169120925236854
40,node9,-63.21804637825,3.624282882171,1.160991150113,-68.19537237851326
41,node2,-60.358275809878,3.673747196694,1.720331653662,-62.78388610815791
42,node5,-67.808065047036,3.692958374468,0.4019520012769999,-61.35238146671193
43,node1,-69.244348255157,3.7270106333519997,0.5448571285439994,-70.49616049273573
44,node7,-88.03740557983697,3.743879031489,0.5039129856469997,-73.95770767942342
45,node4,-58.483150801758,4.024282943461,0.44212937148500053,-59.90772890446546
46,node2,-62.821947312902,4.07569919573,0.40195199903600054,-62.82041128440526
47,node5,-62.92317963493599,4.127010739095001,0.4340523646270005,-61.571784277356564
48,node1,-71.849891860382,4.128962940877,0.4019523075250002,-70.64035407171528
49,node9,-65.94005546218199,4.391362538288,0.7670796561170001,-67.69772577768128
50,node4,-56.001077202091,4.475699251772999,0.4514163083119991,-59.31477551939799
51,node2,-63.13160358751,4.527010881796,0.45131168606600003,-62.895168331621974
52,node6,-69.16341916093299,4.696464960538,1.839732789154,-76.55497610603955
53,node1,-76.79993421427798,4.791362685403,0.6623997445259997,-71.50363389354028
54,node0,-64.34678385730899,4.813762175363999,2.1074475999059996,-67.15517014935544
55,node5,-66.430045785723,4.8728898795680005,0.7458791404729999,-62.28592138017342
56,node6,-66.777888707226,5.098416961393999,0.40195200085599936,-74.72186456398506
57,node2,-66.17700430099399,5.237623089846,0.7106122080499997,-63.440032781075345
58,node6,-79.69268895057499,5.637623312758,0.5392063513640011,-75.19347432286003
59,node3,-61.40035041300399,5.7444838552210005,3.7619272951600005,-61.83073237583779
60,node1,-88.37907703331497,5.785762855154,0.9944001697510005,-74.53541306493646
61,node6,-72.35561472598998,6.144484041266,0.5068607285079993,-74.39170544969103
62,node1,-70.342739249538,6.1877148553609995,0.4019520002069994,-74.01113487157603
63,node4,-60.902956198113,6.199039995742,1.7233407439690005,-59.273468394362006
64,node8,-71.233547272842,6.297816266962,3.472535474547,-70.68829653346381
65,node9,-65.52000271998898,6.385401743497,1.994039205209,-66.68404165696714
66,node6,-66.626460323283,6.587714928068,0.4432308868020005,-72.75936375224939
67,node1,-70.77908259936999,6.599040268072,0.4113254127110002,-73.62697166243562
68,node4,-66.93884983328698,6.600992333985,0.40195233824300036,-60.66405954238971
69,node2,-60.458693762536,6.63829878335,1.4006756935039997,-63.05324102699734
70,node8,-73.90549972082198,6.699768266335999,0.40195199937399906,-71.57069911654493
71,node9,-63.442082220952,6.787353744273,0.40195200077600024,-65.88945869310173
72,node1,-65.07025789578398,7.000992606174,0.40195233810200026,-72.34359434436338
73,node4,-55.146572342770995,7.038298847057,0.4373065130719995,-59.65585954383532
74,node2,-59.62859933367099,7.040250976724001,0.4019521933740009,-62.434708093069545
75,node1,-67.19059434724798,7.4382991190070005,0.4373065128330005,-71.57821402540539
76,node5,-79.59169465142699,7.709530082035,2.8366402024669997,-67.28101541248886
77,node4,-77.16298176561298,7.804543090446001,0.7662442433890009,-62.902362030910254
78,node2,-72.32148470846998,7.838299169513,0.7980481927889995,-64.37342721234972
79,node1,-67.75377196165097,8.109530274354,0.6712311553469998,-70.99194308254228
80,node5,-65.20925811297198,8.111482390566,0.4019523085309995,-67.11177549985075
81,node6,-71.73921220254499,8.164164133906,1.5764492058380002,-71.34694248368929
82,node7,-74.39667886213097,8.383531562007,4.639652530518001,-75.44898637759499
83,node2,-65.834150485148,8.50953032292,0.6712311534069997,-64.78975521392005
84,node1,-79.43355786889998,8.511482581727,0.4019523073729996,-72.37630200599574
85,node4,-58.664632754379,8.543463111442,0.738920020995999,-62.26190645395505
86,node0,-65.572612596808,8.607785951424999,3.7940237760609996,-66.81419345637748
87,node9,-66.37580626885199,8.782363101847,1.9950093575740002,-65.3081641279197
88,node2,-58.96153689059899,8.911482629145,0.40195230622500056,-63.808085382527224
